true_class,true_idx,pred_class,pred_idx,count,true_total,percentage
RARE_LIGAND,68,NAG,54,218,2783,7.833273445921667
BCL,10,CLA-like,22,184,259,71.04247104247104
ZN-like,75,MG-like,50,165,335,49.25373134328358
CA-like,17,MG-like,50,148,415,35.66265060240964
NAG,54,RARE_LIGAND,68,141,2274,6.200527704485488
RARE_LIGAND,68,CLA-like,22,139,2783,4.994610132950054
CLA-like,22,RARE_LIGAND,68,134,1384,9.68208092485549
MAN-like,49,NAG,54,109,210,51.904761904761905
BMA-like,14,NAG,54,105,160,65.625
CDL,19,RARE_LIGAND,68,102,273,37.362637362637365
CA-like,17,ZN-like,75,85,415,20.481927710843372
LMT,48,RARE_LIGAND,68,85,119,71.42857142857143
MG-like,50,ZN-like,75,78,630,12.380952380952381
PGV-like,61,RARE_LIGAND,68,75,80,93.75
MG-like,50,CA-like,17,74,630,11.746031746031745
ATP-like,9,ADP-like,4,70,458,15.283842794759826
ZN-like,75,CA-like,17,63,335,18.80597014925373
BCR,11,RARE_LIGAND,68,62,102,60.78431372549019
ADP-like,4,RARE_LIGAND,68,56,345,16.231884057971016
ATP-like,9,RARE_LIGAND,68,55,458,12.008733624454148
