class,class_idx,precision,recall,f1_score,support,true_positives,false_positives,false_negatives,avg_confidence,avg_rank
1PE-like,0,0.16666666666666666,0.07142857142857142,0.1,14,1,5,13,0.5446787476539612,4.214285714285714
ACO,1,0.6666666666666666,0.3076923076923077,0.42105263157894735,13,4,2,9,0.5483100414276123,15.461538461538462
ACT-like,2,0.0,0.0,0.0,7,0,1,7,0.31227007508277893,9.0
ADN-like,3,0.0,0.0,0.0,1,0,0,1,0.0,3.0
ADP-like,4,0.5063613231552163,0.5768115942028985,0.5392953929539296,345,199,194,146,0.6783226132392883,2.3130434782608695
AGS,5,0.44,0.34375,0.3859649122807018,128,44,56,84,0.5909795761108398,3.6171875
ALA-like,6,0.0,0.0,0.0,2,0,0,2,0.0,48.0
AMP-like,7,0.625,0.38461538461538464,0.4761904761904762,52,20,12,32,0.72225421667099,5.730769230769231
APR-like,8,0.0,0.0,0.0,1,0,1,1,0.4645059108734131,64.0
ATP-like,9,0.639821029082774,0.6244541484716157,0.6320441988950276,458,286,161,172,0.690523624420166,1.668122270742358
BCL,10,0.40476190476190477,0.13127413127413126,0.19825072886297376,259,34,50,225,0.6753091812133789,3.5984555984555984
BCR,11,0.5064935064935064,0.38235294117647056,0.43575418994413406,102,39,38,63,0.6729220747947693,2.1176470588235294
BGC-like,13,0.0,0.0,0.0,6,0,0,6,0.0,11.166666666666666
BLA-like,14,0.0,0.0,0.0,3,0,0,3,0.0,24.666666666666668
BMA-like,15,0.30337078651685395,0.16875,0.21686746987951808,160,27,62,133,0.5266372561454773,2.875
BOG,18,0.0,0.0,0.0,3,0,0,3,0.0,51.333333333333336
BPH,19,0.0,0.0,0.0,17,0,0,17,0.0,6.117647058823529
CA-like,23,0.43575418994413406,0.3759036144578313,0.4036222509702458,415,156,202,259,0.5431197285652161,2.1108433734939758
CD-like,24,0.0,0.0,0.0,1,0,2,1,0.4580729007720947,53.0
CDL,25,0.7669902912621359,0.5787545787545788,0.6597077244258872,273,158,48,115,0.7780184149742126,1.9084249084249085
CHD-like,26,0.0,0.0,0.0,1,0,0,1,0.0,6.0
CL-like,27,0.0,0.0,0.0,14,0,0,14,0.0,9.571428571428571
CLA-like,28,0.7407407407407407,0.8526011560693642,0.7927443735303996,1384,1180,413,204,0.7899177074432373,1.3164739884393064
CLR,29,0.4146341463414634,0.2328767123287671,0.2982456140350877,73,17,24,56,0.676613986492157,3.3835616438356166
CMP-like,30,0.8,0.25,0.38095238095238093,16,4,1,12,0.8142255544662476,12.4375
COA,31,0.3333333333333333,0.2,0.25,5,1,2,4,0.5108500123023987,14.2
CTP-like,32,0.5,0.125,0.2,8,1,1,7,0.6648920774459839,7.875
CYC-like,33,0.3956043956043956,0.5901639344262295,0.4736842105263158,61,36,55,25,0.675265908241272,2.377049180327869
D12-like,34,0.0,0.0,0.0,23,0,4,23,0.38375532627105713,11.91304347826087
DMS-like,35,0.0,0.0,0.0,4,0,0,4,0.0,44.5
EDO-like,36,0.0,0.0,0.0,2,0,0,2,0.0,51.0
F3S,38,0.0,0.0,0.0,1,0,5,1,0.760608434677124,5.0
FAD-like,40,0.625,0.18518518518518517,0.2857142857142857,27,5,3,22,0.5535582304000854,9.777777777777779
FBP,41,1.0,0.5,0.6666666666666666,4,2,0,2,0.5897486805915833,1.5
FES-like,42,0.7391304347826086,0.7391304347826086,0.7391304347826085,138,102,36,36,0.7006978392601013,1.9202898550724639
FMN-like,43,0.7702702702702703,0.6477272727272727,0.7037037037037036,88,57,17,31,0.7924417853355408,2.375
FMT-like,44,0.0,0.0,0.0,2,0,0,2,0.0,8.5
