Class1,Class2,MisclassificationRate1to2,MisclassificationRate2to1
EDO-like,GOL-like,650.0000,251.0000
EDO-like,HOH-like,6087.0000,331.0000
EDO-like,RARE_LIGAND,322.0000,25.0000
EDO-like,SO4-like,1045.0000,73.0000
FAD-like,PGV-like,1.0000,7.0000
FAD-like,RARE_LIGAND,1037.0000,64.0000
GOL-like,HEM-like or OXY-like_HEM-like,1.0000,7.0000
GOL-like,HOH-like,3981.0000,1355.0000
GOL-like,MLI-like_ZN-like,2.0000,5.0000
GOL-like,NAG,3.0000,289.0000
GOL-like,RARE_LIGAND,1069.0000,695.0000
GOL-like,SF4-like,2.0000,2.0000
GOL-like,SO4-like,2409.0000,488.0000
H4B-like,HEM-like or OXY-like_HEM-like,1.0000,5.0000
H4B-like,HOH-like,3.0000,5.0000
H4B-like,NAG,1.0000,18.0000
H4B-like,RARE_LIGAND,126.0000,113.0000
H4B-like,SO4-like,5.0000,3.0000
HEA,RARE_LIGAND,31.0000,1.0000
HEM-like or OXY-like_HEM-like,HOH-like,6.0000,1.0000
HEM-like or OXY-like_HEM-like,RARE_LIGAND,1587.0000,133.0000
HEM-like or OXY-like_HEM-like,SO4-like,3.0000,2.0000
HOH-like,NAG,6.0000,245.0000
HOH-like,PEK,1.0000,5.0000
HOH-like,RARE_LIGAND,1299.0000,1010.0000
HOH-like,SO4-like,4022.0000,6025.0000
HOH-like,ZN-like,7.0000,2629.0000
MLI-like_ZN-like,RARE_LIGAND,8.0000,9.0000
MLI-like_ZN-like,SO4-like,31.0000,5.0000
NAD-like,RARE_LIGAND,1028.0000,1.0000
NAG,RARE_LIGAND,3130.0000,31.0000
NAG,SO4-like,714.0000,6.0000
PGV-like,RARE_LIGAND,55.0000,3.0000
RARE_LIGAND,SF4-like,79.0000,123.0000
RARE_LIGAND,SO4-like,1926.0000,1315.0000
RARE_LIGAND,ZN-like_AKG-like,17.0000,38.0000
SF4-like,SO4-like,121.0000,32.0000
SO4-like,ZN-like,10.0000,4627.0000
SO4-like,ZN-like_AKG-like,3.0000,5.0000
